date,temp,humidity,radiation,precip,location,hemisphere
2021-02-18,15.28,67.26,396.53,0.0,Madrid,north
2021-02-19,15.93,66.75,402.49,2.05,Madrid,north
2021-02-20,19.85,65.0,408.51,0.0,Madrid,north
2021-02-21,18.09,67.58,414.58,1.57,Madrid,north
2021-02-22,16.0,70.43,420.71,1.01,Madrid,north
2021-02-23,19.02,70.9,426.89,1.7,Madrid,north
2021-02-24,18.41,75.06,433.12,1.2,Madrid,north
2021-02-25,17.47,64.61,439.4,2.81,Madrid,north
2021-02-26,18.51,66.4,445.73,2.42,Madrid,north
2021-02-27,17.46,54.92,452.11,1.24,Madrid,north
2021-02-28,19.16,60.26,458.53,1.96,Madrid,north
2021-03-01,20.13,58.06,464.99,1.5,Madrid,north
2021-03-02,18.73,55.36,471.49,1.4,Madrid,north
2021-03-03,19.24,58.78,478.03,1.47,Madrid,north
2021-03-04,20.51,59.35,484.61,1.31,Madrid,north
2021-03-05,21.76,58.4,491.22,1.27,Madrid,north
2021-03-06,19.94,73.02,497.86,0.0,Madrid,north
2021-03-07,21.52,59.87,504.53,0.68,Madrid,north
2021-03-08,24.13,61.08,511.23,3.43,Madrid,north
2021-03-09,19.63,62.59,517.96,0.21,Madrid,north
2021-03-10,19.33,60.85,524.71,0.44,Madrid,north
2021-03-11,21.3,49.72,531.48,3.05,Madrid,north
2021-03-12,20.75,68.66,538.28,0.0,Madrid,north
2021-03-13,21.85,75.47,545.09,0.0,Madrid,north
2021-03-14,18.45,56.61,551.92,1.26,Madrid,north
2021-03-15,23.01,65.49,558.76,0.45,Madrid,north
2021-03-16,18.59,56.56,565.61,2.06,Madrid,north
2021-03-17,22.89,48.64,572.48,0.68,Madrid,north
2021-03-18,24.93,68.74,579.35,1.3,Madrid,north
2021-03-19,22.91,51.59,586.23,0.0,Madrid,north
2021-03-20,22.55,59.99,593.11,1.29,Madrid,north
2021-03-21,21.66,51.39,600.0,0.0,Madrid,north
2021-03-22,20.46,60.05,606.89,0.0,Madrid,north
2021-03-23,22.26,58.76,613.77,2.18,Madrid,north
2021-03-24,23.22,61.19,620.65,0.26,Madrid,north
2021-03-25,21.73,52.48,627.52,2.13,Madrid,north
2021-03-26,25.35,57.96,634.39,3.83,Madrid,north
2021-03-27,23.44,58.29,641.24,0.92,Madrid,north
2021-03-28,23.19,66.44,648.08,2.03,Madrid,north
2021-03-29,20.97,52.52,654.91,1.01,Madrid,north
2021-03-30,25.46,47.44,661.72,0.0,Madrid,north
2021-03-31,20.21,53.49,668.52,0.51,Madrid,north
2021-04-01,24.83,49.66,675.29,0.0,Madrid,north
2021-04-02,20.22,54.82,682.04,0.9,Madrid,north
2021-04-03,26.36,56.78,688.77,0.41,Madrid,north
2021-04-04,27.19,51.81,695.47,0.0,Madrid,north
2021-04-05,23.55,49.22,702.14,0.0,Madrid,north
2021-04-06,25.01,53.05,708.78,0.25,Madrid,north
2021-04-07,23.37,53.32,715.39,1.94,Madrid,north
2021-04-08,24.97,48.58,721.97,0.06,Madrid,north
2021-04-09,24.85,44.45,728.51,0.43,Madrid,north
2021-04-10,25.2,59.65,735.01,1.25,Madrid,north
2021-04-11,27.23,46.52,741.47,1.02,Madrid,north
2021-04-12,22.96,51.3,747.89,0.82,Madrid,north
2021-04-13,23.78,59.39,754.27,0.92,Madrid,north
2021-04-14,21.58,51.82,760.6,0.19,Madrid,north
2021-04-15,25.46,51.04,766.88,0.76,Madrid,north
2021-04-16,21.44,42.57,773.11,1.02,Madrid,north
2021-04-17,28.18,57.54,779.29,1.72,Madrid,north
2021-04-18,21.53,51.53,785.42,0.0,Madrid,north
2021-04-19,28.92,48.61,791.49,0.0,Madrid,north
2021-04-20,29.76,50.22,797.51,0.0,Madrid,north
2021-04-21,26.37,43.0,803.47,0.51,Madrid,north
2021-04-22,24.89,53.19,809.37,0.0,Madrid,north
2021-04-23,26.49,55.05,815.2,0.0,Madrid,north
2021-04-24,26.31,46.66,820.97,0.0,Madrid,north
2021-04-25,27.21,45.8,826.68,0.0,Madrid,north
2021-04-26,29.47,48.93,832.32,0.3,Madrid,north
2021-04-27,24.69,40.72,837.89,1.12,Madrid,north
2021-04-28,25.69,46.61,843.39,0.28,Madrid,north
2021-04-29,27.22,43.4,848.82,0.82,Madrid,north
2021-04-30,25.63,47.8,854.17,0.75,Madrid,north
2021-05-01,25.77,39.03,859.45,0.0,Madrid,north
2021-05-02,24.52,38.08,864.65,0.83,Madrid,north
2021-05-03,25.9,50.54,869.78,1.57,Madrid,north
2021-05-04,26.03,34.63,874.82,0.15,Madrid,north
2021-05-05,25.82,34.61,879.78,0.21,Madrid,north
2021-05-06,26.53,39.44,884.66,0.0,Madrid,north
2021-05-07,24.41,50.36,889.46,0.25,Madrid,north
2021-05-08,24.25,39.25,894.17,0.8,Madrid,north
2021-05-09,24.51,43.21,898.79,0.67,Madrid,north
2021-05-10,27.34,47.5,903.32,0.06,Madrid,north
2021-05-11,28.07,36.24,907.77,0.13,Madrid,north
2021-05-12,28.15,44.01,912.12,0.31,Madrid,north
2021-05-13,23.33,42.41,916.38,0.02,Madrid,north
2021-05-14,23.82,36.07,920.54,0.4,Madrid,north
2021-05-15,21.37,40.83,924.62,0.37,Madrid,north
2021-05-16,24.38,43.92,928.59,0.55,Madrid,north
2021-05-17,24.28,35.1,932.47,0.57,Madrid,north
2021-05-18,22.39,36.51,936.25,0.01,Madrid,north
2021-05-19,25.49,38.95,939.93,0.29,Madrid,north
2021-05-20,27.55,38.77,943.51,0.14,Madrid,north
2021-05-21,22.78,40.97,946.98,0.47,Madrid,north
2021-05-22,28.02,33.36,950.36,0.27,Madrid,north
2021-05-23,24.91,36.39,953.63,0.26,Madrid,north
2021-05-24,21.51,40.7,956.79,0.5,Madrid,north
2021-05-25,27.11,47.57,959.85,0.13,Madrid,north
2021-05-26,24.68,36.12,962.81,0.96,Madrid,north
2021-05-27,21.18,38.26,965.65,0.0,Madrid,north
2021-05-28,19.38,25.48,968.39,0.0,Madrid,north
2021-05-29,26.57,31.01,971.02,0.15,Madrid,north
2021-05-30,21.99,38.17,973.53,0.0,Madrid,north
2021-05-31,26.84,29.92,975.94,0.0,Madrid,north
2021-06-01,24.33,34.79,978.24,0.71,Madrid,north
2021-06-02,24.2,28.41,980.42,0.04,Madrid,north
2021-06-03,22.69,37.86,982.49,0.35,Madrid,north
2021-06-04,23.46,38.37,984.45,0.05,Madrid,north
2021-06-05,23.3,34.72,986.3,0.71,Madrid,north
2021-06-06,23.23,31.87,988.03,0.0,Madrid,north
2021-06-07,24.66,30.49,989.64,0.32,Madrid,north
2021-06-08,19.34,38.45,991.14,0.0,Madrid,north
2021-06-09,21.44,38.34,992.52,0.0,Madrid,north
2021-06-10,22.69,33.24,993.79,0.0,Madrid,north
2021-06-11,25.38,40.19,994.94,0.0,Madrid,north
2021-06-12,19.64,36.57,995.97,0.0,Madrid,north
2021-06-13,21.6,33.01,996.89,0.42,Madrid,north
2021-06-14,21.77,32.68,997.69,0.0,Madrid,north
2021-06-15,24.63,29.57,998.37,0.3,Madrid,north
2021-06-16,20.85,32.43,998.93,0.15,Madrid,north
2021-06-17,21.38,26.68,999.37,0.44,Madrid,north
2021-06-18,24.36,32.83,999.7,0.42,Madrid,north
2021-06-19,23.03,36.12,999.91,0.29,Madrid,north
2021-06-20,21.6,35.67,1000.0,0.22,Madrid,north
2021-06-21,19.04,31.35,999.97,0.0,Madrid,north
2021-06-22,20.79,33.18,999.82,0.57,Madrid,north
2021-06-23,20.92,35.65,999.55,0.2,Madrid,north
2021-06-24,18.38,23.84,999.17,0.0,Madrid,north
2021-06-25,17.5,33.97,998.66,0.14,Madrid,north
2021-06-26,21.17,31.07,998.04,0.52,Madrid,north
2021-06-27,21.95,27.39,997.3,0.12,Madrid,north
2021-06-28,18.57,22.43,996.45,0.41,Madrid,north
2021-06-29,21.81,30.43,995.47,0.05,Madrid,north
2021-06-30,21.41,18.67,994.38,0.26,Madrid,north
2021-07-01,19.3,27.47,993.17,0.64,Madrid,north
2021-07-02,20.75,28.96,991.85,0.18,Madrid,north
2021-07-03,17.82,27.65,990.4,0.0,Madrid,north
2021-07-04,21.14,35.31,988.85,0.47,Madrid,north
2021-07-05,15.98,40.53,987.18,0.86,Madrid,north
2021-07-06,18.33,25.57,985.39,0.0,Madrid,north
2021-07-07,18.57,25.49,983.49,0.21,Madrid,north
2021-07-08,19.69,22.5,981.47,0.89,Madrid,north
2021-07-09,20.42,23.83,979.34,0.0,Madrid,north
2021-07-10,16.5,24.85,977.1,0.14,Madrid,north
2021-07-11,11.68,28.86,974.75,0.85,Madrid,north
2021-07-12,14.38,28.64,972.29,0.0,Madrid,north
2021-07-13,17.66,28.88,969.72,0.92,Madrid,north
2021-07-14,16.57,28.16,967.03,0.44,Madrid,north
2021-07-15,14.91,23.34,964.24,0.35,Madrid,north
2021-07-16,15.34,30.89,961.34,0.39,Madrid,north
2021-07-17,14.44,32.2,958.34,0.9,Madrid,north
2021-07-18,13.01,38.81,955.22,0.16,Madrid,north
2021-07-19,13.46,42.3,952.0,0.32,Madrid,north
2021-07-20,17.49,34.3,948.68,0.0,Madrid,north
2021-07-21,14.76,27.64,945.26,0.0,Madrid,north
2021-07-22,10.74,30.84,941.73,0.51,Madrid,north
2021-07-23,14.82,28.86,938.1,0.0,Madrid,north
2021-07-24,11.83,27.69,934.37,0.0,Madrid,north
2021-07-25,13.16,30.42,930.54,0.0,Madrid,north
2021-07-26,12.86,26.82,926.62,0.29,Madrid,north
2021-07-27,14.1,31.6,922.59,0.5,Madrid,north
2021-07-28,9.54,28.91,918.47,0.42,Madrid,north
2021-07-29,13.88,22.91,914.26,0.38,Madrid,north
2021-07-30,14.77,30.11,909.95,0.26,Madrid,north
2021-07-31,13.02,32.35,905.56,0.63,Madrid,north
2021-08-01,12.02,31.99,901.07,0.0,Madrid,north
2021-08-02,11.3,37.62,896.49,0.22,Madrid,north
2021-08-03,11.06,29.02,891.82,0.72,Madrid,north
2021-08-04,9.45,36.17,887.07,0.0,Madrid,north
2021-08-05,8.8,32.78,882.23,0.41,Madrid,north
2021-08-06,11.27,37.21,877.31,0.13,Madrid,north
2021-08-07,11.32,27.5,872.31,1.02,Madrid,north
2021-08-08,11.46,34.88,867.23,0.46,Madrid,north
2021-08-09,8.39,30.72,862.06,0.64,Madrid,north
2021-08-10,9.68,33.14,856.82,0.0,Madrid,north
2021-08-11,9.85,29.23,851.51,0.0,Madrid,north
2021-08-12,8.94,23.59,846.11,0.79,Madrid,north
2021-08-13,10.71,32.78,840.65,0.0,Madrid,north
2021-08-14,6.88,32.48,835.11,0.0,Madrid,north
2021-08-15,8.9,36.75,829.51,0.22,Madrid,north
2021-08-16,7.32,34.53,823.84,0.63,Madrid,north
2021-08-17,10.27,33.91,818.1,0.0,Madrid,north
2021-08-18,6.92,34.93,812.29,1.42,Madrid,north
2021-08-19,6.98,28.97,806.42,0.0,Madrid,north
2021-08-20,3.2,36.1,800.5,0.0,Madrid,north
2021-08-21,4.69,24.79,794.51,0.0,Madrid,north
2021-08-22,8.07,28.33,788.46,0.0,Madrid,north
2021-08-23,7.07,33.41,782.36,0.76,Madrid,north
2021-08-24,7.97,35.31,776.21,0.0,Madrid,north
2021-08-25,6.02,38.09,770.0,0.06,Madrid,north
2021-08-26,3.18,41.34,763.74,0.18,Madrid,north
2021-08-27,5.01,36.15,757.44,1.25,Madrid,north
2021-08-28,6.14,34.66,751.08,1.01,Madrid,north
2021-08-29,9.7,43.51,744.69,1.02,Madrid,north
2021-08-30,2.95,55.59,738.24,0.0,Madrid,north
2021-08-31,4.24,33.59,731.76,1.8,Madrid,north
2021-09-01,5.62,30.22,725.24,0.74,Madrid,north
2021-09-02,5.66,36.03,718.69,0.0,Madrid,north
2021-09-03,2.92,35.71,712.09,0.56,Madrid,north
2021-09-04,3.13,41.85,705.47,0.0,Madrid,north
2021-09-05,0.5,34.76,698.81,1.7,Madrid,north
2021-09-06,2.62,50.44,692.12,0.99,Madrid,north
2021-09-07,1.25,34.85,685.41,0.79,Madrid,north
2021-09-08,1.03,51.19,678.67,0.0,Madrid,north
2021-09-09,4.56,46.91,671.91,0.5,Madrid,north
2021-09-10,1.02,38.54,665.12,0.93,Madrid,north
2021-09-11,4.58,40.48,658.32,0.0,Madrid,north
2021-09-12,2.73,37.13,651.5,0.0,Madrid,north
2021-09-13,1.07,33.64,644.66,1.18,Madrid,north
2021-09-14,6.18,50.41,637.81,0.09,Madrid,north
2021-09-15,1.19,44.87,630.95,1.67,Madrid,north
2021-09-16,1.12,41.02,624.09,2.81,Madrid,north
2021-09-17,1.57,39.62,617.21,0.78,Madrid,north
2021-09-18,2.78,37.26,610.33,0.42,Madrid,north
2021-09-19,-0.87,41.29,603.44,2.58,Madrid,north
2021-09-20,2.79,42.54,596.56,0.0,Madrid,north
2021-09-21,0.53,48.58,589.67,0.11,Madrid,north
2021-09-22,3.9,36.79,582.79,0.4,Madrid,north
2021-09-23,4.34,33.94,575.91,1.97,Madrid,north
2021-09-24,-2.99,43.86,569.05,0.53,Madrid,north
2021-09-25,2.22,28.87,562.19,0.0,Madrid,north
2021-09-26,-0.7,45.16,555.34,0.0,Madrid,north
2021-09-27,-0.14,39.38,548.5,0.3,Madrid,north
2021-09-28,-1.53,46.87,541.68,1.4,Madrid,north
2021-09-29,2.91,42.7,534.88,0.4,Madrid,north
2021-09-30,0.01,44.85,528.09,0.71,Madrid,north
2021-10-01,-3.33,48.52,521.33,0.0,Madrid,north
2021-10-02,-2.23,39.06,514.59,2.15,Madrid,north
2021-10-03,-0.71,53.09,507.88,1.11,Madrid,north
2021-10-04,-3.95,42.26,501.19,1.71,Madrid,north
2021-10-05,-2.18,42.57,494.53,0.59,Madrid,north
2021-10-06,-1.1,43.31,487.91,0.42,Madrid,north
2021-10-07,-1.8,35.76,481.31,1.44,Madrid,north
2021-10-08,-2.56,55.58,474.76,0.0,Madrid,north
2021-10-09,-4.19,55.34,468.24,0.0,Madrid,north
2021-10-10,-2.39,52.73,461.76,0.43,Madrid,north
2021-10-11,-4.51,51.03,455.31,0.6,Madrid,north
2021-10-12,1.29,53.37,448.92,4.78,Madrid,north
2021-10-13,-4.64,50.67,442.56,0.0,Madrid,north
2021-10-14,0.89,55.23,436.26,1.87,Madrid,north
2021-10-15,-3.04,47.74,430.0,0.0,Madrid,north
2021-10-16,1.87,54.35,423.79,0.54,Madrid,north
2021-10-17,0.26,55.9,417.64,2.21,Madrid,north
2021-10-18,-4.91,48.92,411.54,1.17,Madrid,north
2021-10-19,-1.0,57.62,405.49,0.0,Madrid,north
2021-10-20,-1.51,64.2,399.5,1.88,Madrid,north
2021-10-21,-0.06,53.41,393.58,2.0,Madrid,north
2021-10-22,1.77,54.38,387.71,2.65,Madrid,north
2021-10-23,-3.63,57.14,381.9,2.22,Madrid,north
2021-10-24,-3.41,60.01,376.16,0.0,Madrid,north
2021-10-25,-3.54,54.85,370.49,3.72,Madrid,north
2021-10-26,-1.33,59.87,364.89,0.0,Madrid,north
2021-10-27,-1.82,49.64,359.35,0.14,Madrid,north
2021-10-28,-0.31,55.66,353.89,3.1,Madrid,north
2021-10-29,-2.4,55.19,348.49,2.86,Madrid,north
2021-10-30,-3.3,48.91,343.18,2.92,Madrid,north
2021-10-31,-1.17,46.01,337.94,1.06,Madrid,north
2021-11-01,-2.8,65.88,332.77,0.0,Madrid,north
2021-11-02,-3.15,52.92,327.69,0.0,Madrid,north
2021-11-03,-3.38,50.61,322.69,0.0,Madrid,north
2021-11-04,-5.18,50.62,317.77,0.0,Madrid,north
2021-11-05,-2.99,55.0,312.93,0.0,Madrid,north
2021-11-06,-0.96,58.49,308.18,0.36,Madrid,north
2021-11-07,-2.82,67.01,303.51,1.41,Madrid,north
2021-11-08,-0.91,46.42,298.93,0.02,Madrid,north
2021-11-09,-6.16,57.52,294.44,1.63,Madrid,north
2021-11-10,-3.13,62.54,290.05,0.0,Madrid,north
2021-11-11,-0.59,52.48,285.74,0.64,Madrid,north
2021-11-12,-0.85,63.22,281.53,0.86,Madrid,north
2021-11-13,2.24,58.76,277.41,0.35,Madrid,north
2021-11-14,-7.1,69.97,273.38,0.48,Madrid,north
2021-11-15,-3.87,68.01,269.46,3.07,Madrid,north
2021-11-16,-1.24,54.51,265.63,1.76,Madrid,north
2021-11-17,-2.63,56.11,261.9,2.78,Madrid,north
2021-11-18,-5.58,65.07,258.27,1.84,Madrid,north
2021-11-19,2.86,64.13,254.74,0.0,Madrid,north
2021-11-20,-2.83,63.1,251.32,1.68,Madrid,north
2021-11-21,0.89,53.24,248.0,0.56,Madrid,north
2021-11-22,0.95,71.02,244.78,4.19,Madrid,north
2021-11-23,-1.67,69.04,241.66,3.96,Madrid,north
2021-11-24,1.6,67.42,238.66,2.5,Madrid,north
2021-11-25,-2.28,56.81,235.76,2.76,Madrid,north
2021-11-26,-1.29,64.15,232.97,0.15,Madrid,north
2021-11-27,-1.27,65.7,230.28,0.0,Madrid,north
2021-11-28,-0.24,66.0,227.71,1.0,Madrid,north
2021-11-29,-1.75,68.93,225.25,4.3,Madrid,north
2021-11-30,-1.35,71.39,222.9,2.64,Madrid,north
2021-12-01,-5.33,61.64,220.66,0.05,Madrid,north
2021-12-02,1.67,66.6,218.53,1.95,Madrid,north
2021-12-03,1.5,61.38,216.51,0.0,Madrid,north
2021-12-04,-2.08,65.23,214.61,0.94,Madrid,north
2021-12-05,0.84,62.64,212.82,2.7,Madrid,north
2021-12-06,2.47,74.21,211.15,2.37,Madrid,north
2021-12-07,1.15,70.03,209.6,2.2,Madrid,north
2021-12-08,-0.38,73.31,208.15,4.12,Madrid,north
2021-12-09,5.03,67.22,206.83,1.71,Madrid,north
2021-12-10,2.06,67.21,205.62,2.22,Madrid,north
2021-12-11,1.14,66.42,204.53,4.2,Madrid,north
2021-12-12,1.87,67.89,203.55,2.68,Madrid,north
2021-12-13,2.0,69.18,202.7,1.05,Madrid,north
2021-12-14,-0.57,67.72,201.96,0.0,Madrid,north
2021-12-15,2.46,62.12,201.34,2.75,Madrid,north
2021-12-16,3.71,69.58,200.83,0.98,Madrid,north
2021-12-17,3.21,58.49,200.45,0.0,Madrid,north
2021-12-18,2.26,70.18,200.18,1.02,Madrid,north
2021-12-19,0.73,69.25,200.03,0.37,Madrid,north
2021-12-20,0.78,70.35,200.0,0.79,Madrid,north
2021-12-21,5.5,72.15,200.09,2.44,Madrid,north
2021-12-22,3.93,64.71,200.3,0.0,Madrid,north
2021-12-23,0.54,83.44,200.63,0.0,Madrid,north
2021-12-24,3.25,67.35,201.07,0.67,Madrid,north
2021-12-25,2.7,59.9,201.63,0.0,Madrid,north
2021-12-26,1.28,68.7,202.31,0.0,Madrid,north
2021-12-27,2.89,70.5,203.11,0.15,Madrid,north
2021-12-28,6.33,67.57,204.03,1.55,Madrid,north
2021-12-29,2.02,72.86,205.06,0.45,Madrid,north
2021-12-30,5.7,71.29,206.21,0.85,Madrid,north
2021-12-31,5.52,67.78,207.48,3.48,Madrid,north
2022-01-01,7.17,72.17,208.86,0.0,Madrid,north
2022-01-02,3.31,66.49,210.36,0.73,Madrid,north
2022-01-03,6.62,65.37,211.97,3.17,Madrid,north
2022-01-04,5.95,59.83,213.7,0.33,Madrid,north
2022-01-05,0.99,66.17,215.55,0.2,Madrid,north
2022-01-06,5.16,68.33,217.51,0.47,Madrid,north
2022-01-07,5.41,77.49,219.58,3.21,Madrid,north
2022-01-08,4.54,76.26,221.76,0.0,Madrid,north
2022-01-09,5.42,77.62,224.06,0.0,Madrid,north
2022-01-10,8.42,63.73,226.47,0.88,Madrid,north
2022-01-11,7.14,78.48,228.98,0.0,Madrid,north
2022-01-12,7.59,73.12,231.61,0.7,Madrid,north
2022-01-13,6.32,69.68,234.35,1.28,Madrid,north
2022-01-14,9.96,65.24,237.19,0.36,Madrid,north
2022-01-15,9.07,69.09,240.15,0.8,Madrid,north
2022-01-16,8.62,66.41,243.21,0.0,Madrid,north
2022-01-17,9.77,64.38,246.37,3.03,Madrid,north
2022-01-18,9.56,63.43,249.64,1.57,Madrid,north
2022-01-19,9.7,73.57,253.02,3.0,Madrid,north
2022-01-20,8.87,66.17,256.49,0.1,Madrid,north
2022-01-21,7.88,65.91,260.07,1.55,Madrid,north
2022-01-22,10.11,67.12,263.75,0.0,Madrid,north
2022-01-23,11.01,66.99,267.53,0.0,Madrid,north
2022-01-24,10.25,68.1,271.41,0.0,Madrid,north
2022-01-25,12.45,73.57,275.38,1.14,Madrid,north
2022-01-26,11.3,71.88,279.46,1.02,Madrid,north
2022-01-27,13.06,77.43,283.62,1.19,Madrid,north
2022-01-28,12.4,73.41,287.88,0.52,Madrid,north
2022-01-29,9.5,73.47,292.23,0.0,Madrid,north
2022-01-30,15.58,73.18,296.68,1.34,Madrid,north
2022-01-31,12.34,77.46,301.21,0.0,Madrid,north
2022-02-01,10.16,65.59,305.83,0.63,Madrid,north
2022-02-02,10.71,69.22,310.54,1.24,Madrid,north
2022-02-03,11.34,76.33,315.34,0.0,Madrid,north
2022-02-04,10.65,70.06,320.22,0.7,Madrid,north
2022-02-05,14.28,64.94,325.18,0.0,Madrid,north
2022-02-06,12.39,64.46,330.22,1.79,Madrid,north
2022-02-07,12.96,71.53,335.35,1.88,Madrid,north
2022-02-08,16.24,72.06,340.55,2.16,Madrid,north
2022-02-09,15.94,64.81,345.83,0.6,Madrid,north
2022-02-10,10.97,68.68,351.18,0.0,Madrid,north
2022-02-11,15.67,69.68,356.61,0.0,Madrid,north
2022-02-12,13.08,65.11,362.11,0.22,Madrid,north
2022-02-13,15.68,60.89,367.68,1.03,Madrid,north
2022-02-14,12.2,55.7,373.32,1.98,Madrid,north
2022-02-15,13.2,63.48,379.03,0.0,Madrid,north
2022-02-16,13.22,64.08,384.8,0.36,Madrid,north
2022-02-17,18.23,68.12,390.63,0.57,Madrid,north
2022-02-18,18.01,71.24,396.53,1.49,Madrid,north
2022-02-19,15.91,70.54,402.49,3.35,Madrid,north
2022-02-20,18.27,74.08,408.51,2.17,Madrid,north
2022-02-21,18.87,59.55,414.58,0.0,Madrid,north
2022-02-22,17.3,56.42,420.71,0.1,Madrid,north
2022-02-23,19.36,61.21,426.89,1.6,Madrid,north
2022-02-24,15.14,61.83,433.12,2.23,Madrid,north
2022-02-25,18.48,65.5,439.4,3.1,Madrid,north
2022-02-26,20.87,59.42,445.73,2.58,Madrid,north
2022-02-27,17.26,63.46,452.11,0.88,Madrid,north
2022-02-28,20.85,57.65,458.53,1.43,Madrid,north
2022-03-01,19.96,67.1,464.99,0.58,Madrid,north
2022-03-02,21.13,59.22,471.49,2.27,Madrid,north
2022-03-03,20.03,55.51,478.03,1.33,Madrid,north
2022-03-04,19.89,60.46,484.61,0.0,Madrid,north
2022-03-05,19.25,54.75,491.22,2.87,Madrid,north
2022-03-06,17.68,58.38,497.86,2.18,Madrid,north
2022-03-07,21.3,65.01,504.53,2.6,Madrid,north
2022-03-08,19.7,55.89,511.23,1.78,Madrid,north
2022-03-09,22.11,59.2,517.96,0.0,Madrid,north
2022-03-10,23.19,63.42,524.71,0.0,Madrid,north
2022-03-11,22.46,53.04,531.48,0.21,Madrid,north
2022-03-12,18.83,56.76,538.28,0.0,Madrid,north
2022-03-13,20.04,63.27,545.09,1.08,Madrid,north
2022-03-14,22.7,64.81,551.92,0.33,Madrid,north
2022-03-15,21.78,61.73,558.76,2.6,Madrid,north
2022-03-16,23.59,65.64,565.61,1.82,Madrid,north
2022-03-17,24.08,49.5,572.48,1.66,Madrid,north
2022-03-18,22.56,58.38,579.35,0.15,Madrid,north
2022-03-19,21.45,59.87,586.23,1.57,Madrid,north
2022-03-20,19.46,58.56,593.11,0.11,Madrid,north
2022-03-21,20.71,59.12,600.0,0.34,Madrid,north
2022-03-22,21.45,52.99,606.89,0.96,Madrid,north
2022-03-23,22.9,51.05,613.77,0.0,Madrid,north
2022-03-24,22.71,58.21,620.65,0.0,Madrid,north
2022-03-25,24.2,51.73,627.52,3.29,Madrid,north
2022-03-26,21.48,51.57,634.39,0.82,Madrid,north
2022-03-27,21.7,59.33,641.24,2.33,Madrid,north
2022-03-28,22.86,55.72,648.08,0.14,Madrid,north
2022-03-29,23.77,61.68,654.91,1.44,Madrid,north
2022-03-30,22.09,61.92,661.72,1.66,Madrid,north
2022-03-31,25.0,50.55,668.52,0.66,Madrid,north
2022-04-01,22.55,55.85,675.29,0.31,Madrid,north
2022-04-02,19.79,57.8,682.04,0.75,Madrid,north
2022-04-03,26.53,52.15,688.77,0.74,Madrid,north
2022-04-04,26.72,54.43,695.47,0.81,Madrid,north
2022-04-05,31.02,51.3,702.14,0.7,Madrid,north
2022-04-06,28.17,47.78,708.78,0.0,Madrid,north
2022-04-07,21.93,54.13,715.39,1.05,Madrid,north
2022-04-08,26.38,44.35,721.97,1.34,Madrid,north
