transaction_id,event_minute,customer_id,amount,hour,merchant_risk,country_risk,device_age_days,distance_km,previous_declines,account_age_days,velocity_1h,is_foreign,card_present,amount_to_avg,log_amount_to_avg,log_distance_km,is_night,new_device,is_fraud
15.0,14.0,235.0,798.59,14.0,0.27154,0.19104,441.14,44.35,3.0,1659.0,3.0,1.0,0.0,20.92123,3.08746,3.8143,0.0,0.0,1
16.0,15.0,27.0,236.85,11.0,0.2344,0.19532,158.91,35.79,1.0,1949.0,2.0,1.0,0.0,4.13043,1.63519,3.60534,0.0,0.0,1
17.0,16.0,333.0,117.18,7.0,0.14223,0.27805,77.09,27.01,0.0,489.0,2.0,0.0,1.0,1.54978,0.93601,3.33271,0.0,0.0,0
18.0,17.0,331.0,56.12,4.0,0.57303,0.15235,0.61,32.81,0.0,212.0,3.0,0.0,0.0,1.14236,0.76191,3.5208,1.0,1.0,1
19.0,18.0,257.0,204.86,16.0,0.19149,0.03154,4.73,16.67,1.0,2159.0,2.0,0.0,0.0,1.29217,0.8295,2.87207,0.0,1.0,1
20.0,19.0,255.0,1214.83,20.0,0.21198,0.05067,393.58,14.39,0.0,1608.0,1.0,0.0,1.0,11.26059,2.50639,2.73357,0.0,0.0,0
21.0,20.0,53.0,27.48,18.0,0.59363,0.32065,2.93,23.7,0.0,2169.0,2.0,0.0,0.0,0.27854,0.24572,3.20698,0.0,1.0,0
22.0,21.0,150.0,20.87,13.0,0.17833,0.21214,107.79,12.83,1.0,467.0,4.0,0.0,1.0,0.35577,0.30437,2.62708,0.0,0.0,0
23.0,22.0,31.0,7.9,20.0,0.23692,0.30367,13.92,10.58,0.0,940.0,3.0,0.0,1.0,0.5252,0.42213,2.44911,0.0,0.0,0
24.0,23.0,232.0,33.77,10.0,0.24107,0.60563,453.94,5.4,0.0,532.0,3.0,0.0,1.0,0.6171,0.48064,1.85697,0.0,0.0,0
25.0,24.0,72.0,28.81,6.0,0.08781,0.10923,6.48,87.07,1.0,513.0,1.0,1.0,0.0,0.34834,0.29887,4.47809,0.0,1.0,0
26.0,25.0,182.0,98.46,8.0,0.1062,0.08104,323.31,9.5,0.0,1976.0,4.0,0.0,1.0,1.09019,0.73725,2.35151,0.0,0.0,0
27.0,26.0,113.0,333.99,3.0,0.50607,0.08959,343.94,6.63,0.0,1906.0,5.0,0.0,0.0,3.45904,1.49493,2.03223,1.0,0.0,0
28.0,27.0,73.0,36.86,13.0,0.06772,0.15726,324.62,42.36,0.0,1339.0,3.0,0.0,1.0,0.65437,0.50342,3.76956,0.0,0.0,0
29.0,28.0,203.0,36.34,14.0,0.19798,0.12254,74.83,27.72,0.0,1953.0,2.0,0.0,1.0,0.58935,0.46332,3.35757,0.0,0.0,0
30.0,29.0,163.0,139.23,19.0,0.42385,0.10344,144.24,2.98,0.0,2188.0,1.0,0.0,0.0,4.55331,1.71439,1.38105,0.0,0.0,0
31.0,30.0,86.0,216.07,18.0,0.24264,0.12771,682.28,200.4,0.0,1829.0,2.0,1.0,1.0,1.83255,1.04118,5.3053,0.0,0.0,0
32.0,31.0,85.0,60.03,14.0,0.26979,0.10355,215.31,125.4,0.0,1815.0,2.0,1.0,1.0,2.50886,1.25529,4.83948,0.0,0.0,0
33.0,32.0,242.0,91.33,12.0,0.33085,0.13981,774.17,18.97,1.0,311.0,3.0,0.0,1.0,2.55211,1.26754,2.99402,0.0,0.0,0
34.0,33.0,41.0,16.71,11.0,0.27351,0.04679,289.78,18.04,0.0,1555.0,2.0,0.0,1.0,0.34163,0.29388,2.94659,0.0,0.0,0
35.0,34.0,359.0,46.47,14.0,0.29067,0.10303,363.78,22.05,1.0,1172.0,2.0,0.0,1.0,0.5661,0.44859,3.13774,0.0,0.0,0
36.0,35.0,122.0,55.91,4.0,0.27844,0.36101,831.79,11.36,0.0,1135.0,2.0,0.0,1.0,3.78948,1.56642,2.51416,1.0,0.0,0
37.0,36.0,29.0,9.8,13.0,0.10882,0.32088,36.55,15.09,0.0,498.0,1.0,0.0,1.0,0.2056,0.18698,2.77828,0.0,0.0,0
38.0,37.0,353.0,62.06,5.0,0.61239,0.05549,192.26,10.97,2.0,1053.0,2.0,0.0,0.0,1.53408,0.92983,2.48219,1.0,0.0,1
39.0,38.0,267.0,477.65,17.0,0.20838,0.27561,136.64,312.76,2.0,820.0,3.0,1.0,0.0,3.50358,1.50487,5.74864,0.0,0.0,0
40.0,39.0,133.0,39.46,18.0,0.19627,0.24596,526.38,16.87,1.0,1183.0,2.0,0.0,1.0,0.74279,0.55549,2.88314,0.0,0.0,0
41.0,40.0,158.0,55.15,12.0,0.45271,0.2003,777.71,4.09,3.0,1685.0,3.0,0.0,1.0,1.60756,0.95842,1.62632,0.0,0.0,1
42.0,41.0,232.0,22.57,9.0,0.38161,0.13458,619.23,4.27,0.0,532.0,2.0,0.0,1.0,0.41249,0.34536,1.66255,0.0,0.0,0
43.0,42.0,86.0,170.68,4.0,0.05277,0.13884,865.35,2.29,0.0,1829.0,1.0,0.0,1.0,1.44764,0.89512,1.19135,1.0,0.0,0
44.0,43.0,193.0,8.94,18.0,0.32017,0.48272,172.9,22.62,1.0,137.0,3.0,0.0,1.0,1.11752,0.75025,3.16191,0.0,0.0,0
45.0,44.0,61.0,135.63,9.0,0.40056,0.43549,724.12,208.22,2.0,1496.0,2.0,1.0,1.0,2.67591,1.3018,5.34339,0.0,0.0,1
46.0,45.0,90.0,74.61,18.0,0.51502,0.05063,415.46,11.25,0.0,879.0,1.0,0.0,1.0,1.58227,0.94867,2.50552,0.0,0.0,0
47.0,46.0,86.0,105.11,6.0,0.15085,0.06213,561.41,18.64,1.0,1829.0,2.0,0.0,0.0,0.89149,0.63737,2.97751,0.0,0.0,0
48.0,47.0,339.0,32.53,15.0,0.21495,0.35956,556.17,3.84,0.0,1709.0,2.0,0.0,1.0,0.92752,0.65623,1.57777,0.0,0.0,0
49.0,48.0,228.0,13.74,16.0,0.24587,0.25152,55.6,10.05,2.0,1813.0,2.0,0.0,1.0,0.27895,0.24604,2.40217,0.0,0.0,0
50.0,49.0,367.0,118.46,12.0,0.06785,0.28053,89.85,23.87,0.0,1754.0,0.0,0.0,0.0,1.66034,0.97846,3.21382,0.0,0.0,0
51.0,50.0,388.0,83.16,11.0,0.31574,0.29689,13.1,12.14,0.0,1720.0,2.0,0.0,1.0,1.13946,0.76055,2.57553,0.0,0.0,0
52.0,51.0,141.0,32.34,11.0,0.16798,0.15475,360.54,54.24,2.0,1788.0,2.0,0.0,1.0,0.64289,0.49646,4.01166,0.0,0.0,0
53.0,52.0,299.0,65.46,14.0,0.27205,0.05699,586.48,31.71,0.0,1821.0,1.0,1.0,1.0,1.30061,0.83318,3.48758,0.0,0.0,0
54.0,53.0,346.0,318.54,16.0,0.50247,0.39857,133.79,6.26,3.0,2186.0,8.0,0.0,1.0,2.25683,1.18075,1.98304,0.0,0.0,0
55.0,54.0,194.0,226.42,3.0,0.24773,0.01,373.95,18.24,1.0,1488.0,4.0,0.0,1.0,14.75991,2.75747,2.95716,1.0,0.0,0
56.0,55.0,244.0,93.35,22.0,0.80781,0.12085,327.6,19.01,0.0,1923.0,5.0,0.0,0.0,2.44733,1.2376,2.99644,0.0,0.0,1
57.0,56.0,396.0,14.23,13.0,0.22681,0.02595,220.49,14.17,0.0,1942.0,0.0,0.0,0.0,0.45346,0.37394,2.71958,0.0,0.0,0
58.0,57.0,222.0,39.74,10.0,0.58241,0.04877,319.33,4.59,0.0,741.0,4.0,0.0,1.0,0.43762,0.36299,1.72092,0.0,0.0,0
59.0,58.0,408.0,90.4,18.0,0.68575,0.18171,62.09,13.56,1.0,1713.0,2.0,0.0,0.0,1.42481,0.88575,2.67815,0.0,0.0,0
60.0,59.0,331.0,101.37,13.0,0.29091,0.23282,1.87,21.05,0.0,212.0,4.0,1.0,0.0,2.06356,1.11958,3.0931,0.0,1.0,1
61.0,60.0,185.0,22.51,6.0,0.40466,0.12962,119.73,8.07,0.0,1619.0,1.0,0.0,0.0,0.38145,0.32314,2.20478,0.0,0.0,0
62.0,61.0,277.0,147.09,12.0,0.52832,0.30048,242.47,26.27,0.0,198.0,2.0,0.0,1.0,3.75016,1.55818,3.30586,0.0,0.0,0
63.0,62.0,113.0,118.48,16.0,0.19507,0.18232,508.03,7.24,0.0,1906.0,2.0,0.0,1.0,1.227,0.80066,2.10886,0.0,0.0,0
64.0,63.0,115.0,28.53,13.0,0.1947,0.30085,472.7,73.05,1.0,1148.0,2.0,1.0,0.0,0.64517,0.49785,4.30469,0.0,0.0,0
65.0,64.0,12.0,23.76,9.0,0.1618,0.04851,220.14,40.56,0.0,1896.0,1.0,0.0,1.0,0.4108,0.34415,3.72715,0.0,0.0,0
66.0,65.0,233.0,75.27,14.0,0.06263,0.23316,933.23,20.57,0.0,1453.0,0.0,0.0,1.0,2.70683,1.31018,3.07121,0.0,0.0,0
67.0,66.0,23.0,26.61,15.0,0.22882,0.05702,372.6,12.67,0.0,2053.0,0.0,0.0,1.0,0.2739,0.24208,2.61513,0.0,0.0,0
68.0,67.0,55.0,73.19,7.0,0.22247,0.08875,639.61,71.69,0.0,1157.0,1.0,0.0,0.0,0.9662,0.6761,4.2862,0.0,0.0,0
69.0,68.0,229.0,38.01,16.0,0.18331,0.08074,5.46,3.99,1.0,1763.0,3.0,0.0,1.0,0.5014,0.4064,1.60693,0.0,1.0,0
70.0,69.0,266.0,451.36,9.0,0.04052,0.03357,574.29,15.05,0.0,1157.0,2.0,0.0,1.0,3.00851,1.38842,2.77577,0.0,0.0,0
71.0,70.0,295.0,39.65,1.0,0.10917,0.09772,611.74,11.51,0.0,237.0,1.0,0.0,0.0,0.57474,0.45409,2.52654,1.0,0.0,0
72.0,71.0,360.0,18.74,8.0,0.17335,0.03501,686.06,29.4,0.0,2194.0,2.0,0.0,0.0,0.99846,0.69238,3.41447,0.0,0.0,0
73.0,72.0,392.0,95.84,17.0,0.10932,0.2629,913.61,11.04,0.0,1316.0,2.0,0.0,1.0,1.42541,0.886,2.48814,0.0,0.0,1
74.0,73.0,346.0,42.74,8.0,0.2674,0.18277,271.2,4.69,0.0,2186.0,2.0,0.0,1.0,0.30281,0.26452,1.73807,0.0,0.0,0
75.0,74.0,222.0,58.29,17.0,0.09324,0.01,277.39,0.88,0.0,741.0,1.0,0.0,1.0,0.64188,0.49584,0.62896,0.0,0.0,0
76.0,75.0,185.0,48.02,13.0,0.636,0.17527,439.84,5.66,1.0,1619.0,1.0,0.0,1.0,0.81392,0.59549,1.89626,0.0,0.0,0
77.0,76.0,150.0,17.71,15.0,0.18698,0.23645,131.88,2.03,0.0,467.0,1.0,0.0,1.0,0.30189,0.26382,1.107,0.0,0.0,0
78.0,77.0,118.0,90.41,9.0,0.26552,0.01,182.52,13.42,1.0,73.0,2.0,0.0,0.0,1.07133,0.72819,2.66844,0.0,0.0,0
79.0,78.0,178.0,179.86,12.0,0.17421,0.25018,667.47,2.66,0.0,563.0,4.0,0.0,0.0,0.96006,0.67298,1.29851,0.0,0.0,0
80.0,79.0,41.0,28.16,12.0,0.07367,0.20342,0.54,12.92,0.0,1555.0,1.0,0.0,0.0,0.57568,0.45469,2.63317,0.0,1.0,0
81.0,80.0,138.0,66.49,6.0,0.31083,0.37511,6.83,240.2,1.0,1772.0,2.0,1.0,1.0,1.43684,0.8907,5.48561,0.0,1.0,0
82.0,81.0,102.0,43.7,12.0,0.36447,0.19745,80.41,30.32,1.0,471.0,2.0,0.0,1.0,1.23804,0.8056,3.44414,0.0,0.0,0
83.0,82.0,191.0,15.66,16.0,0.11907,0.03275,661.69,164.72,0.0,1719.0,3.0,1.0,1.0,0.59898,0.46936,5.1103,0.0,0.0,0
84.0,83.0,166.0,46.13,15.0,0.30753,0.07399,514.69,5.14,0.0,414.0,2.0,0.0,1.0,0.3146,0.27353,1.81512,0.0,0.0,0
85.0,84.0,268.0,277.26,15.0,0.07757,0.08217,572.37,10.31,1.0,423.0,1.0,0.0,1.0,5.21771,1.8274,2.42572,0.0,0.0,0
86.0,85.0,189.0,59.45,16.0,0.05603,0.10934,32.79,10.44,0.0,575.0,3.0,0.0,1.0,1.56935,0.94365,2.43677,0.0,0.0,0
87.0,86.0,282.0,36.9,11.0,0.21746,0.11702,356.0,16.87,0.0,2082.0,2.0,0.0,1.0,0.22132,0.19993,2.88306,0.0,0.0,0
88.0,87.0,114.0,90.92,8.0,0.07869,0.30341,88.63,6.71,0.0,1334.0,1.0,0.0,1.0,1.89943,1.06451,2.04262,0.0,0.0,0
89.0,88.0,354.0,31.82,15.0,0.48726,0.20729,530.01,13.83,1.0,1115.0,2.0,0.0,0.0,1.18842,0.78318,2.69661,0.0,0.0,0
90.0,89.0,173.0,40.29,5.0,0.32102,0.24022,421.47,20.01,1.0,1982.0,2.0,0.0,1.0,1.26355,0.81694,3.0448,1.0,0.0,0
91.0,90.0,165.0,85.61,10.0,0.46425,0.35074,604.31,26.72,1.0,1180.0,0.0,0.0,1.0,1.31163,0.83795,3.3223,0.0,0.0,0
92.0,91.0,242.0,158.85,2.0,0.19127,0.05777,2.84,0.85,0.0,311.0,2.0,0.0,1.0,4.43896,1.69359,0.61294,1.0,1.0,0
93.0,92.0,56.0,16.18,2.0,0.17459,0.17018,137.85,12.14,0.0,1084.0,1.0,0.0,1.0,0.51528,0.4156,2.57549,1.0,0.0,0
94.0,93.0,16.0,45.28,19.0,0.29573,0.10415,469.12,1.64,1.0,1013.0,1.0,0.0,1.0,0.87626,0.62928,0.96889,0.0,0.0,0
95.0,94.0,70.0,73.51,12.0,0.47146,0.23752,6.9,19.96,0.0,2097.0,3.0,0.0,1.0,2.26531,1.18335,3.04249,0.0,1.0,0
96.0,95.0,14.0,63.97,11.0,0.36053,0.18944,295.53,5.78,3.0,274.0,1.0,0.0,1.0,0.65909,0.50627,1.91447,0.0,0.0,1
97.0,96.0,377.0,53.42,17.0,0.37244,0.02006,313.39,43.64,2.0,616.0,1.0,0.0,1.0,0.55308,0.44024,3.79856,0.0,0.0,0
98.0,97.0,93.0,87.92,16.0,0.10462,0.26627,225.95,17.87,0.0,1443.0,1.0,0.0,0.0,1.36037,0.85882,2.93767,0.0,0.0,0
99.0,98.0,195.0,12.14,3.0,0.06512,0.05966,178.59,29.76,0.0,1472.0,2.0,0.0,1.0,0.99417,0.69023,3.42616,1.0,0.0,0
100.0,99.0,95.0,78.65,7.0,0.37699,0.10455,450.02,3.29,0.0,1379.0,2.0,0.0,1.0,1.53944,0.93194,1.45545,0.0,0.0,0
101.0,100.0,150.0,108.05,12.0,0.11379,0.12352,95.84,17.71,0.0,467.0,2.0,0.0,1.0,1.84228,1.04461,2.92916,0.0,0.0,0
102.0,101.0,313.0,9.1,8.0,0.27703,0.44234,257.68,20.12,0.0,229.0,2.0,0.0,1.0,0.38386,0.32488,3.05036,0.0,0.0,0
103.0,102.0,203.0,112.2,15.0,0.14179,0.2053,147.6,47.19,0.0,1953.0,3.0,0.0,1.0,1.81948,1.03655,3.87507,0.0,0.0,0
104.0,103.0,385.0,49.78,10.0,0.59284,0.18824,383.5,20.04,1.0,915.0,1.0,0.0,1.0,1.03753,0.71174,3.04628,0.0,0.0,0
105.0,104.0,265.0,17.36,15.0,0.1023,0.08783,208.46,5.79,0.0,1924.0,2.0,0.0,1.0,0.95801,0.67193,1.91511,0.0,0.0,0
106.0,105.0,77.0,45.53,7.0,0.08257,0.21851,2.81,3.73,0.0,698.0,1.0,0.0,1.0,0.55453,0.44117,1.5546,0.0,1.0,0
107.0,106.0,304.0,177.56,14.0,0.40844,0.02998,764.02,9.01,1.0,1312.0,3.0,0.0,1.0,3.45241,1.49345,2.30333,0.0,0.0,0
108.0,107.0,167.0,76.98,12.0,0.04692,0.04521,118.47,44.89,0.0,1471.0,2.0,0.0,0.0,1.72243,1.00153,3.82631,0.0,0.0,0
109.0,108.0,356.0,45.63,14.0,0.33467,0.12718,715.42,7.96,0.0,413.0,3.0,0.0,1.0,1.23609,0.80473,2.1925,0.0,0.0,0
110.0,109.0,298.0,163.44,18.0,0.10033,0.16164,319.99,28.32,0.0,1486.0,1.0,0.0,0.0,6.81231,2.0557,3.37837,0.0,0.0,0
111.0,110.0,16.0,151.41,9.0,0.43041,0.09515,349.54,16.39,1.0,1013.0,4.0,0.0,1.0,2.93029,1.36871,2.85607,0.0,0.0,0
112.0,111.0,231.0,64.5,11.0,0.44306,0.35054,8.13,5.48,1.0,1188.0,2.0,0.0,1.0,0.33132,0.28617,1.86908,0.0,0.0,0
113.0,112.0,313.0,2.0,5.0,0.21281,0.10332,3.42,16.18,2.0,229.0,1.0,0.0,0.0,0.08417,0.08081,2.8439,1.0,1.0,0
114.0,113.0,143.0,51.36,9.0,0.39605,0.1626,294.74,9.42,3.0,1689.0,1.0,0.0,1.0,1.57915,0.94746,2.34369,0.0,0.0,0
115.0,114.0,372.0,26.87,14.0,0.15838,0.06195,707.96,16.64,1.0,1276.0,0.0,0.0,1.0,0.60392,0.47245,2.8704,0.0,0.0,0
116.0,115.0,222.0,182.15,14.0,0.414,0.07681,206.62,13.77,0.0,741.0,2.0,0.0,0.0,2.00571,1.10051,2.69281,0.0,0.0,0
117.0,116.0,372.0,25.12,9.0,0.06341,0.22347,693.14,8.36,0.0,1276.0,2.0,0.0,0.0,0.56464,0.44765,2.23639,0.0,0.0,0
118.0,117.0,171.0,11.63,22.0,0.22863,0.19091,273.59,2.32,0.0,1418.0,0.0,0.0,1.0,0.41856,0.34964,1.19979,0.0,0.0,0
119.0,118.0,1.0,67.8,19.0,0.28635,0.20191,114.49,2.65,1.0,1129.0,4.0,0.0,0.0,1.05099,0.71832,1.29575,0.0,0.0,0
120.0,119.0,393.0,8.79,10.0,0.16377,0.03396,146.87,9.77,0.0,908.0,4.0,0.0,1.0,0.51536,0.41565,2.37673,0.0,0.0,0
121.0,120.0,268.0,126.64,12.0,0.49239,0.0441,355.64,11.37,1.0,423.0,3.0,1.0,0.0,2.38326,1.21884,2.51565,0.0,0.0,0
122.0,121.0,348.0,52.31,11.0,0.08692,0.01582,315.87,28.73,0.0,1225.0,2.0,0.0,1.0,0.46884,0.38447,3.39212,0.0,0.0,0
123.0,122.0,356.0,25.5,17.0,0.53426,0.16654,300.11,17.51,1.0,413.0,1.0,0.0,0.0,0.69073,0.52516,2.9182,0.0,0.0,0
124.0,123.0,243.0,21.73,13.0,0.23928,0.05391,154.78,9.58,0.0,1841.0,0.0,0.0,1.0,0.30274,0.26447,2.35894,0.0,0.0,0
125.0,124.0,383.0,62.27,15.0,0.21832,0.32633,441.7,1.5,1.0,1724.0,2.0,0.0,1.0,1.75783,1.01445,0.91727,0.0,0.0,0
126.0,125.0,235.0,175.87,12.0,0.11487,0.19512,462.71,10.35,0.0,1659.0,2.0,0.0,1.0,4.60752,1.72411,2.42952,0.0,0.0,0
127.0,126.0,376.0,34.4,16.0,0.04243,0.20117,569.43,2.69,0.0,462.0,1.0,0.0,1.0,0.48878,0.39796,1.30473,0.0,0.0,0
128.0,127.0,405.0,22.62,18.0,0.35748,0.13072,374.93,3.46,0.0,1562.0,4.0,0.0,1.0,0.31755,0.27577,1.4955,0.0,0.0,0
129.0,128.0,361.0,133.06,4.0,0.54058,0.08526,6.26,11.09,3.0,2032.0,3.0,0.0,1.0,0.9647,0.67534,2.49265,1.0,1.0,0
130.0,129.0,56.0,74.29,7.0,0.14427,0.13463,190.63,27.32,1.0,1084.0,5.0,1.0,1.0,2.36609,1.21375,3.34347,0.0,0.0,0
131.0,130.0,191.0,11.41,20.0,0.28687,0.23248,173.55,7.83,0.0,1719.0,1.0,0.0,1.0,0.43633,0.36209,2.17794,0.0,0.0,0
132.0,131.0,13.0,26.41,11.0,0.26748,0.01,462.33,10.83,1.0,1331.0,4.0,0.0,0.0,0.36691,0.31255,2.47106,0.0,0.0,0
133.0,132.0,329.0,19.79,8.0,0.20036,0.02227,5.2,9.8,0.0,1930.0,0.0,0.0,1.0,0.97076,0.67842,2.37983,0.0,1.0,0
134.0,133.0,229.0,39.76,18.0,0.0801,0.38365,409.35,8.63,2.0,1763.0,2.0,0.0,1.0,0.52447,0.42165,2.26443,0.0,0.0,0
135.0,134.0,387.0,15.83,19.0,0.16375,0.15429,424.55,85.59,0.0,638.0,0.0,0.0,1.0,0.50324,0.40762,4.46115,0.0,0.0,0
136.0,135.0,35.0,23.05,14.0,0.20931,0.18492,359.54,4.46,0.0,224.0,2.0,0.0,1.0,0.49166,0.39989,1.69733,0.0,0.0,0
137.0,136.0,100.0,33.56,16.0,0.08702,0.21661,226.76,69.89,0.0,1929.0,2.0,0.0,1.0,1.03645,0.71121,4.26117,0.0,0.0,0
138.0,137.0,283.0,97.04,15.0,0.50335,0.05234,15.25,10.36,0.0,69.0,3.0,0.0,1.0,2.15785,1.14989,2.43027,0.0,0.0,1
139.0,138.0,338.0,66.0,13.0,0.08149,0.18435,16.06,13.72,0.0,1230.0,4.0,0.0,0.0,0.54858,0.43734,2.68902,0.0,0.0,0
140.0,139.0,99.0,28.13,20.0,0.43468,0.22766,403.73,2.91,1.0,1555.0,3.0,0.0,0.0,0.82446,0.60129,1.36445,0.0,0.0,0
141.0,140.0,234.0,116.24,14.0,0.18575,0.12081,729.02,4.32,0.0,1886.0,1.0,0.0,1.0,1.30944,0.837,1.67221,0.0,0.0,0
142.0,141.0,87.0,153.94,4.0,0.45487,0.23696,124.44,15.48,1.0,1015.0,3.0,0.0,0.0,1.34476,0.85218,2.80199,1.0,0.0,1
143.0,142.0,28.0,48.45,17.0,0.36149,0.08364,378.64,6.71,1.0,826.0,3.0,0.0,1.0,0.98209,0.68415,2.04221,0.0,0.0,0
144.0,143.0,338.0,142.64,17.0,0.17275,0.40807,9.63,8.74,1.0,1230.0,2.0,0.0,0.0,1.18553,0.78186,2.27634,0.0,0.0,1
145.0,144.0,188.0,432.0,10.0,0.0953,0.21013,739.85,7.73,1.0,909.0,4.0,0.0,1.0,2.9571,1.37551,2.16636,0.0,0.0,0
146.0,145.0,173.0,17.73,13.0,0.59129,0.36615,236.85,12.14,1.0,1982.0,5.0,0.0,1.0,0.55599,0.44211,2.57545,0.0,0.0,0
147.0,146.0,161.0,23.48,8.0,0.22353,0.25217,255.56,1.79,1.0,1806.0,3.0,0.0,0.0,0.52578,0.42251,1.02429,0.0,0.0,0
148.0,147.0,33.0,487.55,14.0,0.13224,0.16595,460.84,15.32,0.0,1939.0,1.0,0.0,1.0,2.85743,1.35,2.79267,0.0,0.0,0
149.0,148.0,370.0,29.05,12.0,0.0631,0.47604,116.66,5.93,0.0,49.0,2.0,0.0,1.0,1.17186,0.77558,1.93614,0.0,0.0,0
150.0,149.0,217.0,36.13,8.0,0.11294,0.26777,500.07,6.03,0.0,213.0,1.0,0.0,1.0,0.2801,0.24694,1.94972,0.0,0.0,0
151.0,150.0,359.0,330.69,11.0,0.56205,0.15049,466.74,23.92,3.0,1172.0,2.0,0.0,1.0,4.02882,1.61518,3.21561,0.0,0.0,0
152.0,151.0,378.0,175.58,10.0,0.3232,0.16307,515.95,33.33,1.0,844.0,2.0,1.0,1.0,3.1115,1.41379,3.53599,0.0,0.0,0
153.0,152.0,145.0,20.33,8.0,0.12854,0.1376,929.4,23.31,0.0,1658.0,1.0,0.0,0.0,0.50505,0.40883,3.19079,0.0,0.0,0
154.0,153.0,61.0,71.6,8.0,0.08404,0.32011,512.8,17.96,1.0,1496.0,1.0,0.0,0.0,1.41261,0.88071,2.94226,0.0,0.0,0
155.0,154.0,241.0,29.89,6.0,0.14488,0.33491,90.8,52.34,0.0,424.0,3.0,1.0,1.0,0.44932,0.3711,3.97677,0.0,0.0,0
156.0,155.0,23.0,88.35,21.0,0.31943,0.16512,130.96,11.29,0.0,2053.0,5.0,0.0,1.0,0.90937,0.64677,2.50876,0.0,0.0,0
157.0,156.0,60.0,64.36,22.0,0.19659,0.55117,41.5,177.58,1.0,1515.0,4.0,0.0,1.0,0.43431,0.36068,5.18506,0.0,0.0,0
158.0,157.0,202.0,141.33,11.0,0.24353,0.09318,116.44,10.05,0.0,1329.0,3.0,0.0,1.0,1.68112,0.98624,2.4027,0.0,0.0,0
159.0,158.0,199.0,215.04,16.0,0.13714,0.10831,139.64,16.95,0.0,957.0,3.0,0.0,1.0,3.37816,1.47663,2.88743,0.0,0.0,0
160.0,159.0,238.0,18.18,15.0,0.29289,0.10235,260.42,27.59,0.0,1643.0,4.0,0.0,0.0,0.72028,0.54249,3.35313,0.0,0.0,0
161.0,160.0,394.0,123.58,13.0,0.13736,0.10668,72.56,4.09,0.0,2033.0,3.0,0.0,1.0,1.75824,1.01459,1.62676,0.0,0.0,0
162.0,161.0,309.0,23.94,15.0,0.15017,0.02754,473.42,10.0,1.0,1963.0,3.0,0.0,1.0,0.97308,0.6796,2.39788,0.0,0.0,0
163.0,162.0,231.0,117.58,14.0,0.41629,0.19126,4.81,9.16,1.0,1188.0,4.0,0.0,1.0,0.60396,0.47247,2.31859,0.0,1.0,0
164.0,163.0,358.0,164.42,12.0,0.11477,0.13298,111.16,2.37,1.0,1951.0,1.0,0.0,0.0,0.71649,0.54028,1.21355,0.0,0.0,0
